Date,Cash Value,Holding Value,Total,AMZN,MSFT,NVDA,TSLA,GOOGL,META,AAPL
2013-06-14,248.1924586296082,11990.986966490746,12239.179425120354,0,0,1071,620,2,63,386
2013-06-17,248.1924586296082,12125.281426280737,12373.473884910345,0,0,1071,620,2,63,386
2013-06-18,248.1924586296082,12181.577166199684,12429.769624829292,0,0,1071,620,2,63,386
2013-06-19,208.61645573377615,12172.05994361639,12380.676399350166,0,0,853,620,2,63,394
2013-06-20,96.4582440257073,11995.290109336376,12091.748353362083,0,2,853,620,2,63,397
2013-06-21,48.968245208263454,11989.13746908307,12038.105714291334,0,3,853,620,2,63,398
2013-06-24,34.47895878553396,11885.136945307255,11919.615904092789,0,3,853,620,2,63,399
2013-06-25,34.47895878553396,11945.366029173136,11979.84498795867,0,3,853,620,2,63,399
2013-06-26,34.47895878553396,12012.649399876595,12047.128358662128,0,3,853,620,2,63,399
2013-06-27,34.47895878553396,12127.131812810898,12161.610771596432,0,3,853,620,2,63,399
2013-06-28,34.47895878553396,12102.624562203884,12137.103520989418,0,3,853,620,2,63,399
2013-07-01,34.47895878553396,12686.05568280816,12720.534641593695,0,3,853,620,2,63,399
2013-07-02,34.47895878553396,12817.654758483171,12852.133717268705,0,3,853,620,2,63,399
2013-07-03,34.47895878553396,12752.131421893835,12786.610380679369,0,3,853,620,2,63,399
2013-07-05,34.47895878553396,12898.281924545765,12932.760883331299,0,3,853,620,2,63,399
2013-07-08,34.47895878553396,12948.203801453114,12982.682760238647,0,3,853,620,2,63,399
2013-07-09,34.47895878553396,13178.352691948414,13212.831650733948,0,3,853,620,2,63,399
2013-07-10,34.47895878553396,13131.793077856302,13166.272036641836,0,3,853,620,2,63,399
2013-07-11,34.47895878553396,13371.904938161373,13406.383896946907,0,3,853,620,2,63,399
2013-07-12,34.47895878553396,13544.701615393162,13579.180574178696,0,3,853,620,2,63,399
2013-07-15,34.47895878553396,13473.088951945305,13507.567910730839,0,3,853,620,2,63,399
2013-07-16,34.47895878553396,12764.011026531458,12798.489985316992,0,3,853,620,2,63,399
2013-07-17,34.47895878553396,13245.952710986137,13280.431669771671,0,3,853,620,2,63,399
2013-07-18,34.47895878553396,13184.00470367074,13218.483662456274,0,3,853,620,2,63,399
2013-07-19,34.47895878553396,13075.494013130665,13109.972971916199,0,3,853,620,2,63,399
2013-07-22,34.47895878553396,13221.57255461812,13256.051513403654,0,3,853,620,2,63,399
2013-07-23,34.47895878553396,13133.774578213692,13168.253536999226,0,3,853,620,2,63,399
2013-07-24,34.47895878553396,13421.762286305428,13456.241245090961,0,3,853,620,2,63,399
2013-07-25,34.47895878553396,13984.225209444761,14018.704168230295,0,3,853,620,2,63,399
2013-07-26,34.47895878553396,14216.844638675451,14251.323597460985,0,3,853,620,2,63,399
2013-07-29,50.54895848035818,14602.351352036,14652.900310516357,0,3,853,620,2,63,398
2013-07-30,66.79860180616384,14690.807757854462,14757.606359660625,0,3,853,620,2,63,397
2013-07-31,66.79860180616384,14732.753370940685,14799.551972746849,0,3,853,620,2,63,397
2013-08-01,66.79860180616384,14892.137606680393,14958.936208486557,0,3,853,620,2,63,397
2013-08-02,83.39467304944998,15098.58763614297,15181.982309192419,0,3,853,620,2,63,396
2013-08-05,126.47467297315603,15501.908376514912,15628.383049488068,0,3,853,619,2,63,394
2013-08-06,126.47467297315603,15292.610942721367,15419.085615694523,0,3,853,619,2,63,394
2013-08-07,126.47467297315603,14983.069322824478,15109.543995797634,0,3,853,619,2,63,394
2013-08-08,146.79467266798025,15685.058986127377,15831.853658795357,0,3,853,617,2,63,394
2013-08-09,146.79467266798025,15565.32455137372,15712.1192240417,0,3,853,617,2,63,394
2013-08-12,146.79467266798025,15495.883472144604,15642.678144812584,0,3,853,617,2,63,394
2013-08-13,200.1389605402947,15599.079088002443,15799.218048542738,0,3,853,617,2,63,391
2013-08-14,76.91308110952383,15587.623712360859,15664.536793470383,5,3,747,617,7,63,390
2013-08-15,41.04952579736715,15619.46495950222,15660.514485299587,7,3,709,617,8,63,390
2013-08-16,12.875811874866542,15837.686585187912,15850.562397062778,8,3,689,617,9,63,390
2013-08-19,12.875811874866542,16075.22088316083,16088.096695035696,8,3,689,617,9,63,390
2013-08-20,12.875811874866542,16213.86752012372,16226.743331998587,8,3,689,617,9,63,390
2013-08-21,12.875811874866542,16154.052973538637,16166.928785413504,8,3,689,617,9,63,390
2013-08-22,12.875811874866542,16563.74012416601,16576.61593604088,8,3,689,617,9,63,390
2013-08-23,12.875811874866542,16864.09489864111,16876.970710515976,8,3,689,617,9,63,390
2013-08-26,12.875811874866542,17035.259407371283,17048.13521924615,8,3,689,617,9,63,390
2013-08-27,12.875811874866542,16830.915523648262,16843.79133552313,8,3,689,617,9,63,390
2013-08-28,12.875811874866542,16896.566175580025,16909.44198745489,8,3,689,617,9,63,390
2013-08-29,12.875811874866542,16941.240039527416,16954.115851402283,8,3,689,617,9,63,390
2013-08-30,12.875811874866542,16996.48661890626,17009.362430781126,8,3,689,617,9,63,390
2013-09-03,12.875811874866542,17051.276897460222,17064.15270933509,8,3,689,617,9,63,390
2013-09-04,12.875811874866542,17260.370031893253,17273.24584376812,8,3,689,617,9,63,390
2013-09-05,12.875811874866542,17242.54113304615,17255.416944921017,8,3,689,617,9,63,390
2013-09-06,12.875811874866542,17242.58122137189,17255.457033246756,8,3,689,617,9,63,390
2013-09-09,12.875811874866542,17110.36086833477,17123.236680209637,8,3,689,617,9,63,390
2013-09-10,20.20506179332739,17156.0335560441,17176.23861783743,8,3,670,617,9,63,390
2013-09-11,31.536811530590114,16749.848442286253,16781.385253816843,8,3,641,617,9,63,390
2013-09-12,32.49341988563543,16856.832385897636,16889.32580578327,8,3,596,617,9,63,391
2013-09-13,33.95038369297987,16745.48603889346,16779.43642258644,8,3,551,617,9,63,392
2013-09-16,33.95038369297987,16466.35317286849,16500.30355656147,8,3,551,617,9,63,392
2013-09-17,33.95038369297987,16689.98776590824,16723.93814960122,8,3,551,617,9,63,392
2013-09-18,33.95038369297987,16840.815095752478,16874.765479445457,8,3,551,617,9,63,392
2013-09-19,33.95038369297987,17474.902135699987,17508.852519392967,8,3,551,617,9,63,392
2013-09-20,33.95038369297987,17724.868453621864,17758.818837314844,8,3,551,617,9,63,392
2013-09-23,33.95038369297987,17929.507509738207,17963.457893431187,8,3,551,617,9,63,392
2013-09-24,33.95038369297987,18038.598577171564,18072.548960864544,8,3,551,617,9,63,392
2013-09-25,33.95038369297987,18113.645702958107,18147.596086651087,8,3,551,617,9,63,392
2013-09-26,33.95038369297987,18380.240301698446,18414.190685391426,8,3,551,617,9,63,392
